State,Atmosphere,Crash Datetime,Fatalities in crash,Roadway,Age,Alcohol Results,Person Type,Drug Involvement,Race,Gender,Injury Severity,Crash Date.year,Crash Date.month,Crash Date.day-of-month,Crash Date.day-of-week
Nevada,Thunderstorm,27-01-2011 10:06,1,Urban-Minor Arterial,19,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Female,Possible Injury (C),2011,1,27,4
Nevada,Clear,27-01-2011 15:42,1,Urban-Minor Arterial,75,,Driver of a Motor Vehicle In-Transport,No,,Male,No Injury (O),2011,1,27,4
Nevada,Cloudy,27-01-2011 21:31,1,Urban-Minor Arterial,78,0,Driver of a Motor Vehicle In-Transport,No,Black,Male,Fatal Injury (K),2011,1,27,4
New Hampshire,Snow,15-03-2011 17:42,1,Urban-Local Road or Street,22,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Male,Non-incapacitating Evident Injury (B),2011,3,15,2
New Jersey,Clear,11-01-2011 02:08,1,Urban-Minor Arterial,84,,Driver of a Motor Vehicle In-Transport,Not Reported,,Female,Possible Injury (C),2011,1,11,2
New Mexico,Fog,29-01-2011 05:28,1,Rural-Principal Arterial-Interstate,34,0,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),2011,1,29,6
North Carolina,Clear,16-01-2011 21:12,2,Rural-Major Collector,30,0,Driver of a Motor Vehicle In-Transport,Unknown,White,Female,Fatal Injury (K),2011,1,16,7
North Carolina,Snow,16-01-2011 03:00,2,Rural-Major Collector,34,0,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),2011,1,16,7
North Dakota,Sleet,11-03-2011 13:13,1,Rural-Principal Arterial-Other,6,,Passenger of a Motor Vehicle In-Transport,Unknown,White,Female,Fatal Injury (K),2011,3,11,5
North Dakota,Snow,11-03-2011 05:27,1,Rural-Principal Arterial-Other,24,,Driver of a Motor Vehicle In-Transport,No,,Female,No Injury (O),2011,3,11,5
Ohio,Thunderstorm,11-01-2011 19:09,1,Rural-Major Collector,48,,Driver of a Motor Vehicle In-Transport,No,,Male,No Injury (O),2011,1,11,2
Oklahoma,Windy,17-01-2011 19:42,1,Rural-Major Collector,50,0.35,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),2011,1,17,1
Utah,Snow,18-01-2011 23:46,1,Urban-Local Road or Street,17,0,Driver of a Motor Vehicle In-Transport,No,,Female,Non-incapacitating Evident Injury (B),2011,1,18,2
Washington,Thunderstorm,27-01-2011 07:58,1,Urban-Minor Arterial,24,0.13,Driver of a Motor Vehicle In-Transport,Not Reported,Black,Female,Fatal Injury (K),2011,1,27,4
Wisconsin,Sleet,11-01-2011 08:05,1,Rural-Major Collector,44,,Driver of a Motor Vehicle In-Transport,No,,Male,Non-incapacitating Evident Injury (B),2011,1,11,2
Alaska,Sleet,07-04-2011 17:56,1,Rural-Major Collector,69,,Driver of a Motor Vehicle In-Transport,No,White,Female,Fatal Injury (K),2011,4,7,4
California,Clear,01-01-2011 17:32,1,Urban-Principal Arterial-Other Freeways or Expressways,59,,Driver of a Motor Vehicle In-Transport,Not Reported,,Male,No Injury (O),2011,1,1,6
California,Cloudy,01-01-2011 13:35,1,Urban-Principal Arterial-Other Freeways or Expressways,,,Driver of a Motor Vehicle In-Transport,Unknown,,Unknown,Unknown,2011,1,1,6
Colorado,Sleet,18-01-2011 07:23,1,Urban-Other Principal Arterial,54,,Driver of a Motor Vehicle In-Transport,No,,Female,No Injury (O),2011,1,18,2
Connecticut,Fog,02-03-2011 12:56,1,Urban-Collector,67,0,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),2011,3,2,3
Delaware,Hail,12-03-2011 14:35,1,Urban-Minor Arterial,17,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Female,No Injury (O),2011,3,12,6
Delaware,Fog,12-03-2011 12:32,1,Urban-Minor Arterial,52,,Pedestrian,Not Reported,White,Male,Fatal Injury (K),2011,3,12,6
Florida,Dust Storm,06-01-2011 22:32,1,Rural-Local Road or Street,40,,Driver of a Motor Vehicle In-Transport,Unknown,White,Male,Fatal Injury (K),2011,1,6,4
Georgia,Clear,06-01-2011 17:59,1,Urban-Principal Arterial-Interstate,53,,Driver of a Motor Vehicle In-Transport,Not Reported,,Male,No Injury (O),2011,1,6,4
Hawaii,Cloudy,04-02-2011 18:12,1,Urban-Principal Arterial-Interstate,19,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Male,Non-incapacitating Evident Injury (B),2011,2,4,5
Idaho,Sleet,03-04-2011 23:32,1,Urban-Other Principal Arterial,17,0.19,Driver of a Motor Vehicle In-Transport,Yes,White,Female,Fatal Injury (K),2011,4,3,7
Idaho,Fog,03-04-2011 04:19,1,Urban-Other Principal Arterial,17,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Female,Incapacitating Injury (A),2011,4,3,7
Illinois,Snow,12-01-2011 19:38,1,Rural-Principal Arterial-Other,54,,Driver of a Motor Vehicle In-Transport,Not Reported,,Male,Non-incapacitating Evident Injury (B),2011,1,12,3
Kansas,Dust Storm,16-01-2011 23:56,1,Rural-Major Collector,53,0.19,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),2011,1,16,7
Kentucky,Sleet,18-01-2011 03:16,2,Rural-Local Road or Street,40,0.22,Driver of a Motor Vehicle In-Transport,Yes,White,Male,Fatal Injury (K),2011,1,18,2
Louisiana,Thunderstorm,23-01-2011 04:46,1,Rural-Principal Arterial-Interstate,54,0,Driver of a Motor Vehicle In-Transport,Unknown,White,Male,Fatal Injury (K),2011,1,23,7
Massachusetts,Thunderstorm,29-01-2011 17:43,1,Urban-Principal Arterial-Interstate,44,0.19,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),2011,1,29,6
Michigan,Snow,12-01-2011 20:05,1,Rural-Major Collector,88,0,Driver of a Motor Vehicle In-Transport,No,,Male,Non-incapacitating Evident Injury (B),2011,1,12,3
Minnesota,Cloudy,31-01-2011 02:37,1,Rural-Principal Arterial-Other,57,0,Driver of a Motor Vehicle In-Transport,No,White,Female,Fatal Injury (K),2011,1,31,1
Mississippi,Sleet,10-01-2011 05:56,1,Rural-Principal Arterial-Other,68,0,Driver of a Motor Vehicle In-Transport,No,Black,Male,Fatal Injury (K),2011,1,10,1
Missouri,Thunderstorm,10-01-2011 12:08,1,Urban-Principal Arterial-Interstate,35,0.06,Driver of a Motor Vehicle In-Transport,Not Reported,,Male,Non-incapacitating Evident Injury (B),2011,1,10,1
Nevada,Cloudy,27-01-2011 08:31,1,Urban-Local Road or Street,9,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Male,Incapacitating Injury (A),2011,1,27,4
New Jersey,Windy,03-02-2011 07:35,2,Rural-Major Collector,21,0,Driver of a Motor Vehicle In-Transport,Yes,White,Female,Fatal Injury (K),2011,2,3,4
New Mexico,Snow,31-01-2011 15:58,1,Rural-Principal Arterial-Other,31,0,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),2011,1,31,1
North Carolina,Cloudy,06-01-2011 06:53,1,Rural-Local Road or Street,14,0,Passenger of a Motor Vehicle In-Transport,No,Black,Male,Fatal Injury (K),2011,1,6,4
North Carolina,Windy,06-01-2011 11:54,1,Rural-Local Road or Street,14,,Passenger of a Motor Vehicle In-Transport,No,,Male,Incapacitating Injury (A),2011,1,6,4
North Dakota,Rain,06-04-2011 09:56,1,Rural-Principal Arterial-Other,57,,Driver of a Motor Vehicle In-Transport,No,,Male,Non-incapacitating Evident Injury (B),2011,4,6,3
Ohio,Clear,11-01-2011 23:13,1,Rural-Local Road or Street,16,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Male,Non-incapacitating Evident Injury (B),2011,1,11,2
Oregon,Rain,20-01-2011 22:49,1,Urban-Collector,31,,Occupant of a Motor Vehicle Not In- Transport,Not Reported,,Female,Possible Injury (C),2011,1,20,4
Oregon,Fog,20-01-2011 10:15,1,Urban-Collector,34,0.21,Driver of a Motor Vehicle In-Transport,Unknown,White,Female,Fatal Injury (K),2011,1,20,4
Oregon,Windy,20-01-2011 03:57,1,Urban-Collector,34,,Pedestrian,No,,Male,Possible Injury (C),2011,1,20,4
Pennsylvania,Dust Storm,21-01-2011 09:57,1,Urban-Principal Arterial-Interstate,41,,Driver of a Motor Vehicle In-Transport,No,,Male,No Injury (O),2011,1,21,5
Pennsylvania,Fog,21-01-2011 04:54,1,Urban-Principal Arterial-Interstate,45,0,Driver of a Motor Vehicle In-Transport,No,Unknown,Male,Fatal Injury (K),2011,1,21,5
Rhode Island,Rain,17-04-2011 20:37,1,Urban-Local Road or Street,34,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Male,Incapacitating Injury (A),2011,4,17,7
Rhode Island,Snow,17-04-2011 19:35,1,Urban-Local Road or Street,40,0.09,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),2011,4,17,7
Vermont,Rain,12-05-2011 10:27,1,Urban-Collector,42,0.11,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),2011,5,12,4
Washington,Sleet,30-01-2011 10:34,1,Rural-Principal Arterial-Interstate,38,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Female,No Injury (O),2011,1,30,7
West Virginia,Snow,21-01-2011 21:42,2,Rural-Major Collector,16,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Male,Incapacitating Injury (A),2011,1,21,5
West Virginia,Fog,21-01-2011 13:56,2,Rural-Major Collector,24,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Male,Incapacitating Injury (A),2011,1,21,5
West Virginia,Rain,21-01-2011 23:24,2,Rural-Major Collector,30,0,Driver of a Motor Vehicle In-Transport,Unknown,White,Male,Fatal Injury (K),2011,1,21,5
Wisconsin,Cloudy,12-01-2011 19:02,1,Rural-Minor Arterial,19,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Male,Non-incapacitating Evident Injury (B),2011,1,12,3
Wyoming,Dust Storm,13-03-2011 05:13,1,Rural-Principal Arterial-Other,45,0.2,Driver of a Motor Vehicle In-Transport,Yes,White,Female,Fatal Injury (K),2011,3,13,7
Alabama,Snow,03-01-2011 03:54,1,Rural-Major Collector,54,,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),2011,1,3,1
Alaska,Windy,19-04-2011 15:00,1,Rural-Principal Arterial-Interstate,31,0.22,Driver of a Motor Vehicle In-Transport,Yes,White,Male,Fatal Injury (K),2011,4,19,2
Arizona,Windy,18-01-2011 05:13,1,Urban-Principal Arterial-Interstate,30,,Driver of a Motor Vehicle In-Transport,No,,Female,Incapacitating Injury (A),2011,1,18,2
Arizona,Snow,18-01-2011 19:17,1,Urban-Principal Arterial-Interstate,60,,Passenger of a Motor Vehicle In-Transport,Not Reported,Unknown,Female,Fatal Injury (K),2011,1,18,2
California,Thunderstorm,01-01-2011 00:45,1,Rural-Principal Arterial-Interstate,1,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Male,No Injury (O),2011,1,1,6
California,Sleet,01-01-2011 06:08,1,Rural-Principal Arterial-Interstate,26,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Male,Non-incapacitating Evident Injury (B),2011,1,1,6
Connecticut,Sleet,15-03-2011 19:04,1,Urban-Collector,52,0,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),2011,3,15,2
Delaware,Dust Storm,25-03-2011 23:11,2,Rural-Local Road or Street,22,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Male,Non-incapacitating Evident Injury (B),2011,3,25,5
Delaware,Sleet,25-03-2011 19:01,2,Rural-Local Road or Street,33,,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),2011,3,25,5
Delaware,Clear,25-03-2011 19:49,2,Rural-Local Road or Street,40,,Driver of a Motor Vehicle In-Transport,Not Reported,,Male,Non-incapacitating Evident Injury (B),2011,3,25,5
District of Columbia,Clear,02-07-2011 16:14,3,Urban-Local Road or Street,17,,Passenger of a Motor Vehicle In-Transport,Not Reported,Black,Male,Fatal Injury (K),2011,7,2,6
District of Columbia,Rain,02-07-2011 16:37,3,Urban-Local Road or Street,32,,Driver of a Motor Vehicle In-Transport,Not Reported,Black,Female,Fatal Injury (K),2011,7,2,6
Florida,Hail,07-01-2011 16:34,1,Rural-Local Road or Street,35,,Driver of a Motor Vehicle In-Transport,Unknown,,Female,No Injury (O),2011,1,7,5
Georgia,Hail,06-01-2011 08:10,1,Rural-Minor Arterial,26,0,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),2011,1,6,4
Hawaii,Cloudy,18-02-2011 01:32,1,Rural-Local Road or Street,26,0.09,Driver of a Motor Vehicle In-Transport,Unknown,Filipino,Male,Fatal Injury (K),2011,2,18,5
Idaho,Clear,26-03-2011 09:08,2,Rural-Principal Arterial-Interstate,68,0,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),2011,3,26,6
Iowa,Fog,20-01-2011 11:35,1,Rural-Principal Arterial-Interstate,43,,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),2011,1,20,4
Kansas,Fog,17-01-2011 16:10,2,Rural-Major Collector,25,,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),2011,1,17,1
Louisiana,Thunderstorm,24-01-2011 14:36,1,Rural-Major Collector,47,0,Driver of a Motor Vehicle In-Transport,No,,Male,Non-incapacitating Evident Injury (B),2011,1,24,1
Louisiana,Sleet,24-01-2011 06:41,1,Rural-Major Collector,75,,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),2011,1,24,1
Maine,Hail,27-02-2011 06:19,1,Rural-Local Road or Street,51,0,Driver of a Motor Vehicle In-Transport,Not Reported,,Male,No Injury (O),2011,2,27,7
Maryland,Clear,19-01-2011 20:43,1,Rural-Local Road or Street,87,0,Pedestrian,No,White,Male,Fatal Injury (K),2011,1,19,3
Minnesota,Snow,01-02-2011 21:58,2,Rural-Major Collector,66,0,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),2011,2,1,2
Minnesota,Rain,01-02-2011 09:07,2,Rural-Major Collector,66,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Female,Non-incapacitating Evident Injury (B),2011,2,1,2
Mississippi,Snow,11-01-2011 02:03,1,Urban-Other Principal Arterial,20,,Driver of a Motor Vehicle In-Transport,No,Black,Female,Fatal Injury (K),2011,1,11,2
Mississippi,Fog,11-01-2011 05:11,1,Urban-Other Principal Arterial,54,,Driver of a Motor Vehicle In-Transport,No,,Male,Non-incapacitating Evident Injury (B),2011,1,11,2
Missouri,Thunderstorm,12-01-2011 13:52,1,Rural-Minor Arterial,28,0,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),2011,1,12,3
Nebraska,Clear,17-02-2011 09:03,1,Urban-Other Principal Arterial,50,0,Driver of a Motor Vehicle In-Transport,No,,Male,Non-incapacitating Evident Injury (B),2011,2,17,4
Nevada,Clear,28-01-2011 06:25,1,Rural-Principal Arterial-Other,31,,Driver of a Motor Vehicle In-Transport,No,,Female,Incapacitating Injury (A),2011,1,28,5
New Jersey,Fog,17-01-2011 23:55,1,Urban-Other Principal Arterial,75,,Passenger of a Motor Vehicle In-Transport,Not Reported,Black,Female,Fatal Injury (K),2011,1,17,1
New Mexico,Cloudy,19-01-2011 09:18,1,Rural-Principal Arterial-Other,45,,Driver of a Motor Vehicle In-Transport,Not Reported,American Indian (includes Aleuts and Eskimos),Male,Fatal Injury (K),2011,1,19,3
New York,Rain,24-01-2011 12:53,1,Rural-Principal Arterial-Interstate,29,0.33,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),2011,1,24,1
North Carolina,Fog,23-01-2011 18:36,1,Rural-Major Collector,17,0,Driver of a Motor Vehicle In-Transport,No,White,Female,Fatal Injury (K),2011,1,23,7
North Carolina,Hail,23-01-2011 01:28,1,Rural-Major Collector,17,,Passenger of a Motor Vehicle In-Transport,No,,Female,Non-incapacitating Evident Injury (B),2011,1,23,7
North Carolina,Clear,23-01-2011 10:19,1,Rural-Major Collector,21,,Passenger of a Motor Vehicle In-Transport,No,,Male,Incapacitating Injury (A),2011,1,23,7
North Dakota,Cloudy,10-04-2011 13:08,1,Rural-Major Collector,29,0.18,Driver of a Motor Vehicle In-Transport,Unknown,White,Female,Fatal Injury (K),2011,4,10,7
Ohio,Dust Storm,12-01-2011 15:26,1,Rural-Principal Arterial-Interstate,50,,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),2011,1,12,3
Oklahoma,Snow,07-01-2011 13:53,1,Rural-Principal Arterial-Interstate,30,0,Pedestrian,Unknown,White,Male,Fatal Injury (K),2011,1,7,5
Pennsylvania,Hail,30-01-2011 03:44,1,Rural-Principal Arterial-Interstate,43,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Male,No Injury (O),2011,1,30,7
Pennsylvania,Dust Storm,30-01-2011 08:11,1,Rural-Principal Arterial-Interstate,48,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Male,No Injury (O),2011,1,30,7
Rhode Island,Snow,02-05-2011 09:18,1,Urban-Local Road or Street,20,0,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),2011,5,2,1
South Carolina,Clear,23-01-2011 02:30,1,Rural-Local Road or Street,16,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Male,Non-incapacitating Evident Injury (B),2011,1,23,7
South Dakota,Fog,15-04-2011 23:56,2,Rural-Principal Arterial-Other,32,0,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),2011,4,15,5
South Dakota,Thunderstorm,15-04-2011 20:11,2,Rural-Principal Arterial-Other,40,0,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),2011,4,15,5
South Dakota,Thunderstorm,15-04-2011 12:33,2,Rural-Principal Arterial-Other,48,0,Driver of a Motor Vehicle In-Transport,No,,Male,No Injury (O),2011,4,15,5
Tennessee,Clear,06-01-2011 03:51,1,Urban-Principal Arterial-Other Freeways or Expressways,22,,Passenger of a Motor Vehicle In-Transport,No,,Male,Incapacitating Injury (A),2011,1,6,4
Tennessee,Hail,06-01-2011 20:30,1,Urban-Principal Arterial-Other Freeways or Expressways,24,0.23,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),2011,1,6,4
Texas,Hail,03-01-2011 14:45,1,Rural-Minor Collector,45,0.22,Driver of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),2011,1,3,1
Utah,Cloudy,27-01-2011 12:52,1,Urban-Other Principal Arterial,18,,Passenger of a Motor Vehicle In-Transport,No,,Male,No Injury (O),2011,1,27,4
Utah,Sleet,27-01-2011 07:30,1,Urban-Other Principal Arterial,19,0,Driver of a Motor Vehicle In-Transport,No,,Male,No Injury (O),2011,1,27,4
Utah,Cloudy,27-01-2011 05:21,1,Urban-Other Principal Arterial,32,,Passenger of a Motor Vehicle In-Transport,No,,Female,No Injury (O),2011,1,27,4
Utah,Thunderstorm,27-01-2011 07:42,1,Urban-Other Principal Arterial,71,,Pedestrian,Not Reported,White,Female,Fatal Injury (K),2011,1,27,4
Virginia,Dust Storm,19-01-2011 14:26,1,Rural-Minor Collector,47,0.45,Driver of a Motor Vehicle In-Transport,Unknown,White,Female,Fatal Injury (K),2011,1,19,3
Washington,Windy,30-01-2011 04:54,1,Urban-Other Principal Arterial,38,0,Driver of a Motor Vehicle In-Transport,No,,Male,No Injury (O),2011,1,30,7
Wisconsin,Thunderstorm,15-01-2011 10:34,1,Urban-Other Principal Arterial,75,0,Driver of a Motor Vehicle In-Transport,Unknown,White,Male,Fatal Injury (K),2011,1,15,6
Wyoming,Windy,20-03-2011 11:29,1,Rural-Principal Arterial-Interstate,5,,Passenger of a Motor Vehicle In-Transport,No,,Female,No Injury (O),2011,3,20,7
Wyoming,Thunderstorm,20-03-2011 13:07,1,Rural-Principal Arterial-Interstate,6,,Passenger of a Motor Vehicle In-Transport,No,,Male,No Injury (O),2011,3,20,7
Wyoming,Snow,20-03-2011 17:09,1,Rural-Principal Arterial-Interstate,13,,Passenger of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),2011,3,20,7
Wyoming,Rain,20-03-2011 14:28,1,Rural-Principal Arterial-Interstate,24,,Passenger of a Motor Vehicle In-Transport,No,,Female,No Injury (O),2011,3,20,7
Alabama,Dust Storm,03-01-2011 15:53,1,Urban-Minor Arterial,30,,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),2011,1,3,1
Alabama,Clear,03-01-2011 05:43,1,Urban-Minor Arterial,41,0,Driver of a Motor Vehicle In-Transport,No,,Male,No Injury (O),2011,1,3,1
Alaska,Cloudy,23-04-2011 23:52,1,Rural-Principal Arterial-Other,55,0.12,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),2011,4,23,6
Arkansas,Hail,15-01-2011 04:04,2,Rural-Principal Arterial-Other,36,0,Driver of a Motor Vehicle In-Transport,Unknown,,Male,Incapacitating Injury (A),2011,1,15,6
Arkansas,Clear,15-01-2011 16:35,2,Rural-Principal Arterial-Other,50,0.2,Driver of a Motor Vehicle In-Transport,Not Reported,Black,Female,Fatal Injury (K),2011,1,15,6
Arkansas,Thunderstorm,15-01-2011 04:34,2,Rural-Principal Arterial-Other,69,,Passenger of a Motor Vehicle In-Transport,Not Reported,Black,Male,Fatal Injury (K),2011,1,15,6
California,Clear,01-01-2011 12:00,1,Rural-Major Collector,25,0.27,Driver of a Motor Vehicle In-Transport,Unknown,\N,Female,Fatal Injury (K),2011,1,1,6
Colorado,Thunderstorm,19-01-2011 11:41,1,Urban-Local Road or Street,35,0.19,Driver of a Motor Vehicle In-Transport,Unknown,,Male,Non-incapacitating Evident Injury (B),2011,1,19,3
Delaware,Sleet,26-03-2011 02:32,1,Rural-Major Collector,27,0.21,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),2011,3,26,6
District of Columbia,Sleet,17-07-2011 11:33,1,Urban-Local Road or Street,,,Driver of a Motor Vehicle In-Transport,Not Reported,,Unknown,Unknown,2011,7,17,7
District of Columbia,Cloudy,17-07-2011 08:58,1,Urban-Local Road or Street,,,Unknown Occupant Type in a Motor Vehicle In- Transport,Not Reported,,Unknown,Unknown,2011,7,17,7
Florida,Cloudy,07-01-2011 06:18,1,Rural-Local Road or Street,59,0.07,Driver of a Motor Vehicle In-Transport,Unknown,White,Male,Fatal Injury (K),2011,1,7,5
Georgia,Fog,06-01-2011 23:53,1,Rural-Minor Arterial,53,0,Pedestrian,Unknown,Unknown,Male,Fatal Injury (K),2011,1,6,4
Hawaii,Rain,20-02-2011 03:17,1,Urban-Other Principal Arterial,5,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Female,No Injury (O),2011,2,20,7
Hawaii,Fog,20-02-2011 16:22,1,Urban-Other Principal Arterial,28,0,Driver of a Motor Vehicle In-Transport,No,,Male,Possible Injury (C),2011,2,20,7
Idaho,Hail,09-04-2011 13:42,1,Rural-Principal Arterial-Interstate,12,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Male,No Injury (O),2011,4,9,6
Idaho,Dust Storm,09-04-2011 12:13,1,Rural-Principal Arterial-Interstate,15,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Male,No Injury (O),2011,4,9,6
Idaho,Thunderstorm,09-04-2011 02:28,1,Rural-Principal Arterial-Interstate,22,0.21,Pedestrian,No,White,Male,Fatal Injury (K),2011,4,9,6
Illinois,Windy,19-01-2011 07:38,1,Urban-Minor Arterial,30,0,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),2011,1,19,3
Illinois,Snow,19-01-2011 17:33,1,Urban-Minor Arterial,46,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Female,No Injury (O),2011,1,19,3
Illinois,Clear,19-01-2011 15:27,1,Urban-Minor Arterial,53,0,Driver of a Motor Vehicle In-Transport,Not Reported,,Male,No Injury (O),2011,1,19,3
Indiana,Sleet,04-01-2011 08:14,1,Urban-Minor Arterial,52,0,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),2011,1,4,2
Kansas,Snow,18-01-2011 14:56,1,Rural-Major Collector,30,,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),2011,1,18,2
Louisiana,Clear,24-01-2011 16:03,1,Urban-Other Principal Arterial,32,0,Driver of a Motor Vehicle In-Transport,No,,Male,Non-incapacitating Evident Injury (B),2011,1,24,1
Louisiana,Fog,24-01-2011 20:20,1,Urban-Other Principal Arterial,35,0,Driver of a Motor Vehicle In-Transport,No,,Female,No Injury (O),2011,1,24,1
Maryland,Fog,18-01-2011 01:55,1,Urban-Other Principal Arterial,15,0,Pedestrian,No,Unknown,Male,Fatal Injury (K),2011,1,18,2
Massachusetts,Windy,16-06-2011 10:27,1,Urban-Local Road or Street,30,0.01,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),2011,6,16,4
Michigan,Snow,13-01-2011 05:10,1,Rural-Major Collector,29,0,Driver of a Motor Vehicle In-Transport,No,,Male,No Injury (O),2011,1,13,4
Mississippi,Cloudy,13-01-2011 11:47,2,Rural-Principal Arterial-Other,70,0,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),2011,1,13,4
Montana,Rain,05-03-2011 21:49,1,Rural-Minor Arterial,21,,Driver of a Motor Vehicle In-Transport,Not Reported,,Male,No Injury (O),2011,3,5,6
Nevada,Dust Storm,04-02-2011 20:34,1,Rural-Unknown Rural,50,0,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),2011,2,4,5
New Hampshire,Hail,18-04-2011 10:04,1,Rural-Minor Collector,42,0.24,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),2011,4,18,1
New Mexico,Hail,01-01-2011 03:09,1,Urban-Other Principal Arterial,32,0,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),2011,1,1,6
North Carolina,Rain,22-01-2011 21:19,1,Rural-Principal Arterial-Other,20,,Driver of a Motor Vehicle In-Transport,No,,Female,No Injury (O),2011,1,22,6
North Carolina,Rain,22-01-2011 15:31,1,Rural-Principal Arterial-Other,60,0,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),2011,1,22,6
North Dakota,Cloudy,13-04-2011 23:40,1,Rural-Principal Arterial-Other,61,,Driver of a Motor Vehicle In-Transport,No,,Male,No Injury (O),2011,4,13,3
Oklahoma,Windy,15-01-2011 01:34,1,Rural-Principal Arterial-Interstate,28,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Male,Non-incapacitating Evident Injury (B),2011,1,15,6
Oregon,Clear,21-01-2011 08:01,1,Rural-Principal Arterial-Other,50,0,Driver of a Motor Vehicle In-Transport,Unknown,,Male,No Injury (O),2011,1,21,5
Pennsylvania,Cloudy,31-01-2011 03:38,1,Urban-Other Principal Arterial,62,,Driver of a Motor Vehicle In-Transport,No,,Female,Non-incapacitating Evident Injury (B),2011,1,31,1
Pennsylvania,Clear,31-01-2011 18:00,1,Urban-Other Principal Arterial,94,,Driver of a Motor Vehicle In-Transport,No,Unknown,Male,Fatal Injury (K),2011,1,31,1
South Carolina,Hail,23-01-2011 20:33,1,Rural-Unknown Rural,33,,Driver of a Motor Vehicle In-Transport,Not Reported,,Male,Non-incapacitating Evident Injury (B),2011,1,23,7
South Carolina,Clear,23-01-2011 01:03,1,Rural-Unknown Rural,36,0.06,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),2011,1,23,7
